epoch,wind_lull_mps,wind_avg_mps,wind_gust_mps,wind_dir_deg,air_temp_c,relative_humidity_pct,baro_pressure_mb,sea_level_pressure_mb,solar_radiation_wm2,uv_index,precip_mm,precip_type,lightning_avg_dist_km,lightning_count,battery_v,report_interval_min,local_day,local_minute,time_utc,wind_lull_mph,wind_avg_mph,wind_gust_mph,gust_factor
1765482600,0.0,1.3,3.9,76,3,1016.4,24.7,54,455262,1.88,3794,0.0,2,0,0,2.51,5,0.0,2025-12-11T19:50:00+00:00,0.0,2.9080171796707197,8.724051539012159,3.0
1765482900,0.0,0.6,3.0,197,3,1016.2,24.3,55,556766,2.31,4640,0.0,1,0,0,2.5,5,0.0,2025-12-11T19:55:00+00:00,0.0,1.3421617752326398,6.710808876163199,5.0
1765483200,0.2,1.4,3.0,257,6,1015.6,23.6,56,976876,4.05,8141,0.0,1,0,0,2.51,5,0.0,2025-12-11T20:00:00+00:00,0.44738725841088,3.1317108088761594,6.710808876163199,2.14
1765483500,0.1,1.5,2.9,198,6,1016.3,23.2,56,1892122,7.85,15768,0.233858,1,0,0,2.51,5,0.233858,2025-12-11T20:05:00+00:00,0.22369362920544,3.3554044380815995,6.487115246957759,1.93
1765483800,0.2,1.4,2.4,216,15,1015.8,23.1,55,1081951,4.48,9016,0.0,0,0,0,2.52,5,0.233858,2025-12-11T20:10:00+00:00,0.44738725841088,3.1317108088761594,5.368647100930559,1.71
1765484100,0.1,1.5,4.0,220,6,1015.8,22.9,56,1002144,4.15,8351,0.0,0,0,0,2.52,5,0.233858,2025-12-11T20:15:00+00:00,0.22369362920544,3.3554044380815995,8.9477451682176,2.67
1765484400,0.4,1.9,3.4,231,6,1015.8,23.0,55,909850,3.77,7582,0.0,0,0,0,2.52,5,0.233858,2025-12-11T20:20:00+00:00,0.89477451682176,4.250178954903359,7.6055833929849594,1.79
1765484700,0.5,2.0,5.2,316,6,1015.8,22.9,57,976113,4.04,8134,0.0,0,0,0,2.53,5,0.233858,2025-12-11T20:25:00+00:00,1.1184681460272,4.4738725841088,11.632068718682879,2.6
1765485000,0.7,2.1,3.6,309,6,1015.8,22.8,56,439144,1.82,3660,0.0,0,0,0,2.53,5,0.233858,2025-12-11T20:30:00+00:00,1.5658554044380797,4.69756621331424,8.052970651395839,1.71
1765485300,1.1,2.2,4.3,300,6,1015.6,22.5,57,341873,1.41,2849,0.0,0,0,0,2.52,5,0.233858,2025-12-11T20:35:00+00:00,2.46062992125984,4.92125984251968,9.61882605583392,1.95
